EGID;EDID;GDEKT;GDENR;GDENAME;STRNAME;DEINR;PLZ4;PLZZ;PLZNAME;GKODE;GKODN;STRSP
1741144;0;GR;3901;Chur;Segantinistrasse;9;7000;0;Chur;2758900.528;1191222.711;de
1741145;0;GR;3901;Chur;Segantinistrasse;10;7000;0;Chur;2758855.323;1191238.832;de
1741146;0;GR;3901;Chur;Segantinistrasse;12;7000;0;Chur;2758843.094;1191220.241;de
1741147;0;GR;3901;Chur;Segantinistrasse;18;7000;0;Chur;2758812.506;1191202.735;de
1741148;0;GR;3901;Chur;Segantinistrasse;19;7000;0;Chur;2758811.042;1191167.55;de
1741149;0;GR;3901;Chur;Segantinistrasse;11;7000;0;Chur;2758859.956;1191194.115;de
1741150;0;GR;3901;Chur;Segantinistrasse;20;7000;0;Chur;2758787.522;1191185.471;de
1741151;0;GR;3901;Chur;Segantinistrasse;22;7000;0;Chur;2758770.3;1191168.652;de
1741152;0;GR;3901;Chur;Segantinistrasse;23;7000;0;Chur;2758787.705;1191148.171;de
1741153;0;GR;3901;Chur;Segantinistrasse;26;7000;0;Chur;2758743.425;1191154.063;de
1741154;0;GR;3901;Chur;Segantinistrasse;27;7000;0;Chur;2758763.518;1191127.545;de
1741155;0;GR;3901;Chur;Segantinistrasse;28;7000;0;Chur;2758726.087;1191127.887;de
1741158;0;GR;3901;Chur;Segantinistrasse;50;7000;0;Chur;2758556.794;1191063.365;de
1741159;0;GR;3901;Chur;Heroldstrasse;6;7000;0;Chur;2758824.34;1191246.114;de
1741160;0;GR;3901;Chur;Heroldstrasse;6a;7000;0;Chur;2758838.54;1191264.789;de
1741161;0;GR;3901;Chur;Heroldstrasse;7;7000;0;Chur;2758800.514;1191223.395;de
1741162;0;GR;3901;Chur;Heroldstrasse;8;7000;0;Chur;2758826.33;1191290.546;de
1741164;0;GR;3901;Chur;Heroldstrasse;14;7000;0;Chur;2758790.454;1191287.283;de
1741165;0;GR;3901;Chur;Heroldstrasse;15;7000;0;Chur;2758765.817;1191259.443;de
1741166;0;GR;3901;Chur;Spechtweg;4;7000;0;Chur;2758712.761;1191183.316;de
1741167;0;GR;3901;Chur;Spechtweg;6;7000;0;Chur;2758723.671;1191191.863;de
1741168;0;GR;3901;Chur;Spechtweg;8;7000;0;Chur;2758751.91;1191203.935;de
1741169;0;GR;3901;Chur;Spechtweg;9;7000;0;Chur;2758739.724;1191229.802;de
1741170;0;GR;3901;Chur;Spechtweg;10;7000;0;Chur;2758762.45;1191218.357;de
1741171;0;GR;3901;Chur;Spechtweg;11;7000;0;Chur;2758745.645;1191250.139;de
1741172;0;GR;3901;Chur;Spechtweg;12;7000;0;Chur;2758779.223;1191234.173;de
1741174;0;GR;3901;Chur;Heroldstrasse;17;7000;0;Chur;2758747.236;1191273.948;de
1741175;0;GR;3901;Chur;Heroldstrasse;19;7000;0;Chur;2758721.312;1191264.305;de
1741176;0;GR;3901;Chur;Heroldstrasse;21;7000;0;Chur;2758691.523;1191285.128;de
1741177;0;GR;3901;Chur;Heroldstrasse;23;7000;0;Chur;2758719;1191293.569;de
1741178;0;GR;3901;Chur;Heroldstrasse;25;7000;0;Chur;2758675.088;1191330.423;de
1741179;0;GR;3901;Chur;Heroldstrasse;27;7000;0;Chur;2758649.36;1191407.272;de
1741180;0;GR;3901;Chur;Heroldstrasse;30;7000;0;Chur;2758665.38;1191441.809;de
1741181;0;GR;3901;Chur;Heroldstrasse;32;7000;0;Chur;2758680.694;1191449.811;de
1741182;0;GR;3901;Chur;Heroldstrasse;42;7000;0;Chur;2758641.25;1191494.458;de
1741183;0;GR;3901;Chur;Heroldstrasse;44;7000;0;Chur;2758656.07;1191501.587;de
1741184;0;GR;3901;Chur;Heroldstrasse;46;7000;0;Chur;2758622.117;1191516.459;de
1741185;0;GR;3901;Chur;Heroldstrasse;48;7000;0;Chur;2758638.268;1191524.377;de
1741186;0;GR;3901;Chur;Oberalpstrasse;46;7000;0;Chur;2758820.105;1191392.813;de
1741187;0;GR;3901;Chur;Oberalpstrasse;51;7000;0;Chur;2758783.735;1191343.344;de
1741188;0;GR;3901;Chur;Oberalpstrasse;52;7000;0;Chur;2758759.346;1191375.045;de
1741189;0;GR;3901;Chur;Oberalpstrasse;53;7000;0;Chur;2758796.755;1191329.779;de
1741190;0;GR;3901;Chur;Oberalpstrasse;54;7000;0;Chur;2758734.876;1191353.671;de
1741191;0;GR;3901;Chur;Oberalpstrasse;55;7000;0;Chur;2758809.483;1191316.287;de
