Grundstueck-Nummer;EGID;Gebaeude-Koordinate X;Gebaeude-Koordinate Y;Gebaeude-Baujahr;Gebaeude-Kategorie;Gebaeude-Klasse-Nummer;Gebaeude-Klasse;Gebaeude-Flaeche;Gebaeude-Geschosse;Gebaeude-Strasse;Gebaeude-Hausnummer;Gebaeude-PLZ;Gebaeude-Ort
6593;001 741 937;2759022;1192221;1990;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;468;4;Dreibündenstrasse;80;7000;Chur
4981;001 739 654;2759954;1193330;1962;132  ;Anz. separate Wohnräume;  ;132;2;Gemsweg;3;7000;Chur
2670;001 738 562;2759941;1190458;1912;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;191;4;St. Luzistrasse;2;7000;Chur
9892;190 012 174;2760487;1191913;2003;Nebennutzung Gebäude mit zwei Wohnungen;Anz. separate Wohnräume;84  ;Gebäude mit zwei Wohnungen;3;Eblinweg;31;7000;Chur
1879;400 017 739;2757840;1191182;1900;81  ;Anz. separate Wohnräume;  ;81;2;Pulvermühlestrasse;71;7000;Chur
10443;190 106 115;2757728;1190602;2004;5698  ;Anz. separate Wohnräume;  ;5698;2;Sommeraustrasse;9;7000;Chur
1587;001 738 576;2759903;1191081;1906;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;133;4;Halde;2;7000;Chur
6250;001 739 668;2759982;1193157; ;78  ;Anz. separate Wohnräume;  ;78;3;Kirchgasse Masans;80;7000;Chur
;001 740 426;2759790;1191843;1911;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;77;4;Masanserstrasse;109;7000;Chur
4722;001 741 738;2758898;1192012;1956;97  ;Anz. separate Wohnräume;  ;97;2;Krähenweg;3;7000;Chur
;009 001 017;2759596;1191321;1985;632  ;Anz. separate Wohnräume;  ;632;4;Alexanderstrasse;24;7000;Chur
;001 740 340;2759886;1191684;1898;93  ;Anz. separate Wohnräume;  ;93;3;Masanserstrasse;76;7000;Chur
;001 740 354;2759686;1191872;1910;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;96;3;Eggerstrasse;5;7000;Chur
;001 740 432;2759830;1191946;1908;122 2;Anz. separate Wohnräume;2 ;122;4;Masanserstrasse;118;7000;Chur
5324;001 739 697;2759915;1193421;1967;150  ;Anz. separate Wohnräume;  ;150;2;Tschuggenstrasse;37;7000;Chur
2826;001 738 589;2759800;1190638;1861;Mehrfamilienhaus, ohne  Nebennutzung;1122;Gebäude mit drei oder mehr  Wohnungen;200;3;Hof;2;7000;Chur
12150;190 663 515;2759975;1193557;2013;130  ;Anz. separate Wohnräume;  ;130;2;Tschuggenstrasse;60;7000;Chur
10083;001 741 704;2759007;1191859;1946;63  ;Anz. separate Wohnräume;  ;63;2;Birkenweg;10;7000;Chur
